Reviews,Score
"My second time buying this headset, first time was 2018 and they held on for 7 years of daily use.
Decided to replace them after the earpads started peeling and the cord had some wear and tear that made me nervous, but otherwise they still worked fine.
Honestly the best headset I've ever purchased.",5
"I bought this headset for my PS5 and really liked the build quality and the sound quality. I was not able to test the microphone with the chat. Unfortunately, I have to return it because the shape of the earbuds is not good for my ears and it is becoming uncomfortable. Without this detail, I kept it without hesitation because it is the best, most immersive and rich sound that I have tested so far. Too bad.
I recommend it because if it does you, you will have something very good.",4
"I am not impressed by the sound quality or the microphone. The headset hurts my head/hair, even though I do not have a big one. This might be subjective, but it is helpful to know.
Overall, overrated, overpriced.",3
I bought these for my boyfriend for Christmas because of the great reviews. Who in the world would make headphones that aren't adjustable at all? They barely fit on his head- the ear cups are way too high up and there's no ability to move them down because of the permanent position of the elastic band. The microphone quality also sucks compared to his previous headsets when this was meant to be an upgrade. There's a lot of echo and they pick up so much background noise. Will likely be requesting a refund and returning these for something better.,1
Not 7.1 but better than some,5
"The floating headband is weird to get used to, I keep trying to adjust the headset itself for my head but you can’t do that lol, I get headset fatigue pretty quickly with this headset for some reason, and idk if it’s just user error or what but when I plug it in to charge, it turns on even if I had it off beforehand, mic quality is great though!",4
Mic Is go's.,5
"Bluetooth earbuds that are reliable, no disconnections and easy to use with my Mac mini. The earbuds are comfortable despite the time used. I am satisfied with this model the voice is clear in short I recommend this product!",5
"Stopped working about 1.5-2 months later, dungle would not work after several times reconnecting it, mic would randomly stop working, now stopped working completely.
Complete waste of money, better off with corsair void pro/elite.",1
It is the second set of Corsair wired headset I owned. I find the shape and fabric of the earpads to be the most comfortable for all day use. Recently I thought the microphone stopped working but it seems to be a compatability issue with either windows or HP software. I just plug in through a hub and I have my comfort and sound back.,5
satisfied,5
